Tên đường,Tên phường,Quận,Giấy tờ pháp lý,Diện tích,Số tầng,Số phòng ngủ,Số nhà vệ sinh,Hướng cửa chính,Loại hình nhà ở,Giá (VNĐ),Giá hiển thị,Giá/m² (VNĐ)
Đường Nguyễn Đức Thuận,Phường 13,Quận Tân Bình,1,32,1,2,2,,"Nhà ngõ, hẻm",3100000000,"3,1 tỷ",96.875
Đường Lê Lâm,Phường Phú Thạnh,Quận Tân Phú,1,84,5,6,,,"Nhà mặt phố, mặt tiền",13500000000,"13,5 tỷ",160.71428
Đường Gò Dầu,Phường Tân Quý,Quận Tân Phú,1,83.4,4,4,,,"Nhà ngõ, hẻm",10200000000,"10,2 tỷ",122.302155
Đường Hương Lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,1,64,4,5,5,,"Nhà ngõ, hẻm",6790000000,"6,79 tỷ",106.09375
Đường Thành Mỹ,Phường 8,Quận Tân Bình,1,36,,3,,,"Nhà mặt phố, mặt tiền",5500000000,"5,5 tỷ",152.77777
Đường An Dương Vương,Phường 10,Quận 6,1,80,4,6,5,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",11000000000,11 tỷ,137.5
Đường Tô Ngọc Vân,Phường Linh Đông (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,100,2,4,2,Hướng Nam,"Nhà ngõ, hẻm",4300000000,"4,3 tỷ",43
Đường Phan Huy Ích,Phường 14,Quận Gò Vấp,1,40,2,2,2,,"Nhà ngõ, hẻm",3950000000,"3,95 tỷ",98.75
Đường Nguyễn Trung Trực,Phường 5,Quận Bình Thạnh,1,25,4,2,3,,"Nhà ngõ, hẻm",4950000000,"4,95 tỷ",198
Hẻm 493A Cách mạng tháng 8,Phường 13,Quận 10,1,41,3,6,3,,"Nhà ngõ, hẻm",4450000000,"4,45 tỷ",108.53658
Đường Hoàng Trọng Mậu,Phường Tân Hưng,Quận 7,1,24,3,2,3,,"Nhà ngõ, hẻm",3750000000,"3,75 tỷ",156.25
Hẻm 4 Đường Thạnh Lộc 40,Phường Thạnh Lộc,Quận 12,1,40,1,2,2,,"Nhà ngõ, hẻm",920000000,920 triệu,23
Đường Xô Viết Nghệ Tĩnh,Phường 17,Quận Bình Thạnh,1,50,6,7,7,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",130
Đường Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,1,50,4,4,3,Hướng Nam,"Nhà ngõ, hẻm",7500000000,"7,5 tỷ",150
