Tên đường,Tên phường,Quận,Giấy tờ pháp lý,Diện tích,Số tầng,Số phòng ngủ,Số nhà vệ sinh,Hướng cửa chính,Loại hình nhà ở,Giá (VNĐ),Giá hiển thị,Giá/m² (VNĐ)
thống nhất,Phường 10,Quận Gò Vấp,1,72,,4,5,,"Nhà mặt phố, mặt tiền",13000000000,13 tỷ,180.55556
quang trung,Phường 10,Quận Gò Vấp,1,60,,4,3,,"Nhà mặt phố, mặt tiền",14900000000,"14,9 tỷ",248.33333
PẠM NGŨ LÃO,Phường 4,Quận Gò Vấp,1,100,,4,3,,"Nhà mặt phố, mặt tiền",16000000000,16 tỷ,160
Hoàng Xuân Nhị,Phường Phú Trung,Quận Tân Phú,1,67.5,,2,1,,"Nhà mặt phố, mặt tiền",7490000000,"7,49 tỷ",110.96296
LÊ QUANG ĐỊNH,Phường 1,Quận Gò Vấp,1,160,,6,4,,"Nhà mặt phố, mặt tiền",21900000000,"21,9 tỷ",136.875
Đường Hậu Giang,Phường 5,Quận 6,1,34,,3,3,,"Nhà ngõ, hẻm",5200000000,"5,2 tỷ",152.94118
bùi quang là,Phường 12,Quận Gò Vấp,1,100,,5,3,,"Nhà mặt phố, mặt tiền",6850000000,"6,85 tỷ",68.5
Đường Thống Nhất,Phường 16,Quận Gò Vấp,1,34,,2,2,Hướng Đông Nam,"Nhà ngõ, hẻm",3380000000,"3,38 tỷ",99.411766
Đường Huỳnh Tấn Phát,Phường Tân Phú,Quận 7,1,123,3,4,,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",52.845528
Đường Nguyễn Thiện Thuật,Phường 2,Quận 3,1,36,5,7,,Hướng Tây Nam,Nhà phố liền kề,7300000000,"7,3 tỷ",202.77777
Đường Âu Dương Lân,Phường 3,Quận 8,1,48,3,3,3,,"Nhà ngõ, hẻm",3999000000,"3,999 tỷ",83.3125
Đường Phạm Thế Hiển,Phường 6,Quận 8,1,120,1,4,,,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",46.666668
Hương Lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,1,57,3,4,3,,"Nhà ngõ, hẻm",4900000000,"4,9 tỷ",85.96491
Đường Ni Sư Huỳnh Liên,Phường 10,Quận Tân Bình,1,73.8,2,3,3,Hướng Tây Nam,"Nhà ngõ, hẻm",7600000000,"7,6 tỷ",102.98103
Đường Nguyễn Tư Giản,Phường 12,Quận Gò Vấp,1,65,,5,,,"Nhà ngõ, hẻm",8500000000,"8,5 tỷ",130.76923
Đường Lê Trọng Tấn,Phường Bình Hưng Hoà B,Quận Bình Tân,1,44,2,3,2,,"Nhà ngõ, hẻm",2950000000,"2,95 tỷ",67.045456
Đường Trần Thị Năm,Phường Tân Chánh Hiệp,Quận 12,1,65,,4,,Hướng Đông,"Nhà mặt phố, mặt tiền",4750000000,"4,75 tỷ",73.07692
Đường Bình Thới,Phường 14,Quận 11,1,62,5,5,6,,"Nhà mặt phố, mặt tiền",14800000000,"14,8 tỷ",238.70967
Đường Phan Văn Trị,Phường 12,Quận Bình Thạnh,1,60,2,3,,,"Nhà ngõ, hẻm",5900000000,"5,9 tỷ",98.333336
Hoa Bằng,Phường Tân Sơn Nhì,Quận Tân Phú,1,52,5,4,5,,"Nhà ngõ, hẻm",6900000000,"6,9 tỷ",132.6923
Đường Hưng Nhơn,Xã Tân Kiên,Huyện Bình Chánh,1,90,2,3,3,,"Nhà mặt phố, mặt tiền",1320000000,"1,32 tỷ",14.666667
Hẻm 118 Đường Số 8,Phường Bình Hưng Hoà B,Quận Bình Tân,1,52,4,4,3,Hướng Đông,"Nhà ngõ, hẻm",4550000000,"4,55 tỷ",87.5
Đường Bùi Minh Trực,Phường 5,Quận 8,1,30,,2,2,,"Nhà ngõ, hẻm",1780000000,"1,78 tỷ",59.333332
Đường Tân Kỳ Tân Quý,Phường Sơn Kỳ,Quận Tân Phú,1,69,,2,,,"Nhà ngõ, hẻm",5500000000,"5,5 tỷ",79.710144
Đường Trần Hưng Đạo,Phường Cầu Kho,Quận 1,1,74,4,6,6,,"Nhà ngõ, hẻm",12300000000,"12,3 tỷ",166.21622
Đường Trần Hưng Đạo,Phường Cầu Kho,Quận 1,1,57,2,3,3,,"Nhà ngõ, hẻm",12000000000,12 tỷ,210.52632
Đường Mã Lò,Phường Bình Hưng Hoà A,Quận Bình Tân,1,48,2,3,2,,"Nhà ngõ, hẻm",4500000000,"4,5 tỷ",93.75
Bưng Ông Thoàn,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,1,129,3,4,4,,Nhà biệt thự,16800000000,"16,8 tỷ",130.23256
Vành Đai 2,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,1,75,3,3,3,,Nhà phố liền kề,7100000000,"7,1 tỷ",94.666664
Vành Đai Trong,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,1,144,3,4,4,,Nhà biệt thự,13500000000,"13,5 tỷ",93.75
Đường Lý Thái Tổ,Phường 10,Quận 10,1,32,,2,,,"Nhà ngõ, hẻm",4600000000,"4,6 tỷ",143.75
Đường Lê Trọng Tấn,Phường Sơn Kỳ,Quận Tân Phú,1,50,3,4,3,Hướng Đông,"Nhà mặt phố, mặt tiền",5100000000,"5,1 tỷ",102
Lê Quang Định Phường 11,Phường 12,Quận Bình Thạnh,1,80,4,5,5,,"Nhà ngõ, hẻm",10800000000,"10,8 tỷ",135
Đường Thống Nhất,Phường 11,Quận Gò Vấp,1,64,2,2,2,Hướng Đông Nam,"Nhà ngõ, hẻm",7050000000,"7,05 tỷ",110.15625
Đường Trần Bình Trọng,Phường 1,Quận 5,1,50,4,4,3,,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",136
Đường Sư Vạn Hạnh,Phường 10,Quận 10,1,58,3,5,5,,"Nhà ngõ, hẻm",5450000000,"5,45 tỷ",93.965515
Đường Bùi Tư Toàn,Phường An Lạc,Quận Bình Tân,1,50,,2,,,"Nhà ngõ, hẻm",3850000000,"3,85 tỷ",77
Đường Bùi Tư Toàn,Phường An Lạc,Quận Bình Tân,1,50,,2,,,"Nhà ngõ, hẻm",3850000000,"3,85 tỷ",77
Đường số 28,Phường Bình Trị Đông B,Quận Bình Tân,1,90,4,4,5,,"Nhà mặt phố, mặt tiền",11990000000,"11,99 tỷ",133.22223
Đường Võ Văn Ngân,Phường Linh Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,25,,3,,,"Nhà ngõ, hẻm",1370000000,"1,37 tỷ",54.8
Trần Hưng Đạo,Phường Cô Giang,Quận 1,1,24,3,4,4,,"Nhà ngõ, hẻm",4600000000,"4,6 tỷ",191.66667
Lê Văn Việt,Phường Tăng Nhơn Phú A (Quận 9 cũ),Thành phố Thủ Đức,1,70,,4,7,,"Nhà mặt phố, mặt tiền",16500000000,"16,5 tỷ",235.71428
Đường Lâm Văn Bền,Phường Tân Kiểng,Quận 7,1,40,2,2,1,,"Nhà ngõ, hẻm",3560000000,"3,56 tỷ",89
Đường Quang Trung,Phường 8,Quận Gò Vấp,1,396,2,3,3,,"Nhà mặt phố, mặt tiền",45000000000,45 tỷ,113.63636
Đường Ðề Thám,Phường Cô Giang,Quận 1,1,18,3,2,3,,"Nhà ngõ, hẻm",3950000000,"3,95 tỷ",219.44444
Đường Đông Hưng Thuận 31,Phường Tân Hưng Thuận,Quận 12,1,34,1,2,1,Hướng Bắc,"Nhà ngõ, hẻm",3190000000,"3,19 tỷ",93.82353
Đường Quốc lộ 13,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,132,1,3,3,Hướng Đông Bắc,"Nhà ngõ, hẻm",7800000000,"7,8 tỷ",59.090908
Đường Hồ Hảo Hớn,Phường Cô Giang,Quận 1,1,32,4,6,6,,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",206.25
Đường Lê Quang Định,Phường 1,Quận Gò Vấp,1,40,2,3,3,,"Nhà ngõ, hẻm",5000000000,5 tỷ,125
Đường Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,1,20,2,2,2,,"Nhà ngõ, hẻm",2100000000,"2,1 tỷ",105
Số 10,Phường Tân Quy,Quận 7,1,52,4,5,4,,"Nhà mặt phố, mặt tiền",6990000000,"6,99 tỷ",134.42308
Đường Nguyễn Văn Khối,Phường 15,Quận Gò Vấp,1,46,2,3,2,,"Nhà ngõ, hẻm",5700000000,"5,7 tỷ",123.91304
Đường Nguyễn Văn Tạo,Xã Long Thới,Huyện Nhà Bè,1,106.5998,3,6,4,Hướng Tây,"Nhà mặt phố, mặt tiền",12000000000,12 tỷ,112.570564
Phạm Hùng,Xã Bình Hưng,Huyện Bình Chánh,1,100,5,5,6,Hướng Đông Nam,Nhà phố liền kề,11200000000,"11,2 tỷ",112
Đường Linh Đông,Phường Linh Đông (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,154,,4,,,Nhà phố liền kề,14500000000,"14,5 tỷ",94.155846
Đường Lê Đức Thọ,Phường 16,Quận Gò Vấp,1,40,2,2,2,,"Nhà ngõ, hẻm",3450000000,"3,45 tỷ",86.25
Ht35,Phường Hiệp Thành,Quận 12,5,32,,2,,,"Nhà ngõ, hẻm",1370000000,"1,37 tỷ",42.8125
Đường Thống Nhất,Phường 16,Quận Gò Vấp,1,59,,3,3,,"Nhà ngõ, hẻm",5800000000,"5,8 tỷ",98.305084
Đường Lý Thường Kiệt,Phường 4,Quận Gò Vấp,1,60,,3,,,"Nhà ngõ, hẻm",5900000000,"5,9 tỷ",98.333336
quang trung,Phường 10,Quận Gò Vấp,1,52.9,4,4,,,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",128.54442
Đường Hà Huy Giáp,Phường Thạnh Lộc,Quận 12,5,30,,2,2,,"Nhà ngõ, hẻm",995000000,995 triệu,33.166668
Đường Cách Mạng Tháng Tám,Phường 11,Quận 3,1,41.5998,3,4,3,,Nhà phố liền kề,6500000000,"6,5 tỷ",156.25075
Đường Kênh Tân Hóa,Phường Phú Trung,Quận Tân Phú,1,65.5,2,2,3,,"Nhà mặt phố, mặt tiền",6690000000,"6,69 tỷ",102.137405
Ỷ Lan,Phường Phú Thạnh,Quận Tân Phú,1,116,,3,2,,"Nhà mặt phố, mặt tiền",10500000000,"10,5 tỷ",90.51724
Lê Sao,Phường Phú Thạnh,Quận Tân Phú,1,81,,1,1,,"Nhà mặt phố, mặt tiền",8500000000,"8,5 tỷ",104.93827
Đường số 2,Phường Bình Hưng Hoà A,Quận Bình Tân,1,56,2,2,2,,"Nhà ngõ, hẻm",4580000000,"4,58 tỷ",81.78571
Đường Quang Trung,Phường 8,Quận Gò Vấp,1,58,2,4,4,Hướng Đông Bắc,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",112.06896
Đường Lê Văn Duyệt,Phường 1,Quận Bình Thạnh,1,37,2,2,2,,"Nhà ngõ, hẻm",5500000000,"5,5 tỷ",148.64865
Trịnh Thị Miếng,Xã Thới Tam Thôn,Huyện Hóc Môn,,64,,3,,,"Nhà mặt phố, mặt tiền",2500000000,"2,5 tỷ",39.0625
Số,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,1,75,,3,4,,"Nhà mặt phố, mặt tiền",7400000000,"7,4 tỷ",98.666664
Đường Lạc Long Quân,Phường 9,Quận Tân Bình,1,38.5,4,4,3,Hướng Đông,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",176.62338
Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,1,99.7698,4,3,3,,"Nhà ngõ, hẻm",23900000000,"23,9 tỷ",239.55145
Đường Nguyễn Duy Cung,Phường 12,Quận Gò Vấp,1,60,2,2,2,,"Nhà mặt phố, mặt tiền",6000000000,6 tỷ,100
Đường C18,Phường 12,Quận Tân Bình,1,81,4,5,6,,"Nhà ngõ, hẻm",10500000000,"10,5 tỷ",129.62962
Đường Quốc lộ 1A,Phường Bình Hưng Hoà B,Quận Bình Tân,1,40,,2,,,"Nhà ngõ, hẻm",2900000000,"2,9 tỷ",72.5
Đường Quang Trung,Phường 10,Quận Gò Vấp,1,34,2,3,3,,"Nhà ngõ, hẻm",4350000000,"4,35 tỷ",127.94118
Đường Tân Kỳ Tân Quý,Phường Tân Quý,Quận Tân Phú,1,52,4,4,4,,"Nhà ngõ, hẻm",5800000000,"5,8 tỷ",111.53846
Đường Tân Kỳ Tân Quý,Phường Tân Quý,Quận Tân Phú,1,52,4,4,4,,"Nhà ngõ, hẻm",5800000000,"5,8 tỷ",111.53846
Đường Trần Bình Trọng,Phường 1,Quận 5,1,38,5,5,6,,"Nhà ngõ, hẻm",7600000000,"7,6 tỷ",200
Đường số 7A,Phường Bình Trị Đông B,Quận Bình Tân,1,218,3,5,5,,"Nhà mặt phố, mặt tiền",35000000000,35 tỷ,160.55046
Đường Lê Thị Ngay,Xã Vĩnh Lộc A,Huyện Bình Chánh,5,52,,2,2,,"Nhà ngõ, hẻm",1890000000,"1,89 tỷ",36.346153
Đường Liên khu 4-5,Phường Bình Hưng Hoà B,Quận Bình Tân,1,124,3,5,5,,"Nhà ngõ, hẻm",9990000000,"9,99 tỷ",80.564514
Đường số 48,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,92,3,3,3,,"Nhà ngõ, hẻm",8000000000,8 tỷ,86.95652
Đường Đông Hồ,Phường 8,Quận Tân Bình,1,33,4,4,4,,"Nhà ngõ, hẻm",7300000000,"7,3 tỷ",221.21213
Đường Gò Xoài,Phường Bình Hưng Hoà A,Quận Bình Tân,1,64,4,5,6,,"Nhà ngõ, hẻm",5000000000,5 tỷ,78.125
Đường Lê Văn Quới,Phường Bình Hưng Hoà A,Quận Bình Tân,1,56,2,4,3,,"Nhà ngõ, hẻm",4850000000,"4,85 tỷ",86.60714
Đường Lê Đình Cẩn,Phường Tân Tạo,Quận Bình Tân,1,38,2,2,2,,"Nhà ngõ, hẻm",2750000000,"2,75 tỷ",72.36842
Đường Tạ Quang Bửu,Phường 5,Quận 8,1,80,,5,4,,"Nhà mặt phố, mặt tiền",18300000000,"18,3 tỷ",228.75
Đường Lò Siêu,Phường 13,Quận 11,1,43,,2,,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",151.1628
Đường Song Hành Quốc Lộ 22,Phường Tân Hưng Thuận,Quận 12,1,82,1,1,1,Hướng Đông Bắc,"Nhà mặt phố, mặt tiền",7200000000,"7,2 tỷ",87.80488
Đường Đỗ Xuân Hợp,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,1,20,,3,,,"Nhà ngõ, hẻm",970000000,970 triệu,48.5
Nguyễn Thị thập ,Phường Tân Kiểng,Quận 7,1,72,,4,,,"Nhà mặt phố, mặt tiền",18800000000,"18,8 tỷ",261.1111
Đường Điện Biên Phủ,Phường 17,Quận Bình Thạnh,1,43,2,2,2,,"Nhà ngõ, hẻm",5690000000,"5,69 tỷ",132.32558
Vĩnh Hội,Phường 4,Quận 4,1,18,,2,2,,"Nhà ngõ, hẻm",4500000000,"4,5 tỷ",250
Đường Lê Văn Sỹ,Phường 14,Quận 3,1,30,,4,,,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",126.666664
Đường Nơ Trang Long,Phường 13,Quận Bình Thạnh,1,118,1,2,1,,"Nhà ngõ, hẻm",8000000000,8 tỷ,67.79661
Đường Số 8,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,52,4,4,3,,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",107.69231
Đường Lê Văn Sỹ,Phường 14,Quận 3,1,30,,4,,,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",126.666664
Đường Nơ Trang Long,Phường 13,Quận Bình Thạnh,1,118,1,2,1,,"Nhà ngõ, hẻm",8000000000,8 tỷ,67.79661
Đường Số 8,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,52,4,4,3,,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",107.69231
Đường Vĩnh Hội,Phường 4,Quận 4,1,60,,10,7,,"Nhà mặt phố, mặt tiền",12999000000,"12,999 tỷ",216.65
Đường Đặng Văn Ngữ,Phường 15,Quận Phú Nhuận,1,32,3,4,4,,"Nhà mặt phố, mặt tiền",10000000000,10 tỷ,312.5
Đường Kha Vạn Cân,Phường Linh Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,23,3,3,3,,"Nhà ngõ, hẻm",1980000000,"1,98 tỷ",86.08696
Đường Lê Thị Ngay,Xã Vĩnh Lộc A,Huyện Bình Chánh,5,44,,2,2,Hướng Đông,"Nhà ngõ, hẻm",1650000000,"1,65 tỷ",37.5
Đường Lý Chính Thắng,Phường 9,Quận 3,1,100.08,1,3,2,Hướng Đông Bắc,"Nhà ngõ, hẻm",10600000000,"10,6 tỷ",105.91527
Đường Sư Vạn Hạnh,Phường 7,Quận 10,1,40,,4,,,Nhà phố liền kề,8000000000,8 tỷ,200
13,Phường Linh Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,20,,3,,,"Nhà ngõ, hẻm",1980000000,"1,98 tỷ",99
Đường Tân Sơn Nhì,Phường Tân Quý,Quận Tân Phú,1,60,,2,,,"Nhà ngõ, hẻm",5900000000,"5,9 tỷ",98.333336
Đường số 100,Phường Thạnh Mỹ Lợi (Quận 2 cũ),Thành phố Thủ Đức,1,140,,5,6,,Nhà biệt thự,16500000000,"16,5 tỷ",117.85714
Đường Đào Tông Nguyên,Xã Phú Xuân,Huyện Nhà Bè,1,92.0999,,4,,,"Nhà mặt phố, mặt tiền",10900000000,"10,9 tỷ",118.34975
Đường Xô Viết Nghệ Tĩnh,Phường 17,Quận Bình Thạnh,1,71,2,3,3,,"Nhà ngõ, hẻm",7500000000,"7,5 tỷ",105.633804
Đường Phú Thọ Hoà,Phường Phú Thọ Hòa,Quận Tân Phú,1,40,2,2,2,,"Nhà ngõ, hẻm",3200000000,"3,2 tỷ",80
Đường Song Hành Xa lộ Hà Nội,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,1,55,2,2,2,,"Nhà ngõ, hẻm",4600000000,"4,6 tỷ",83.63636
Đường Quang Trung,Phường 11,Quận Gò Vấp,1,25.1,2,2,2,Hướng Bắc,"Nhà ngõ, hẻm",3050000000,"3,05 tỷ",121.51395
Đường Nam Hòa,Phường Phước Long A (Quận 9 cũ),Thành phố Thủ Đức,1,75,2,4,3,,"Nhà mặt phố, mặt tiền",5900000000,"5,9 tỷ",78.666664
Đường Lê Quốc Trinh,Phường Phú Thọ Hòa,Quận Tân Phú,1,63,4,6,5,,"Nhà mặt phố, mặt tiền",9500000000,"9,5 tỷ",150.79366
Đường Bình Mỹ,Xã Bình Mỹ,Huyện Củ Chi,1,105,,2,2,,"Nhà ngõ, hẻm",2700000000,"2,7 tỷ",25.714285
Đường Thạnh Xuân 14,Phường Thạnh Xuân,Quận 12,1,272,1,3,2,Hướng Đông Bắc,Nhà biệt thự,9600000000,"9,6 tỷ",35.294117
Đường Hương Lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,1,104,2,4,3,,"Nhà ngõ, hẻm",7800000000,"7,8 tỷ",75
Đường Trung Lang,Phường 12,Quận Tân Bình,1,56,4,4,4,,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",100
Đường Trần Thiện Chánh,Phường 12,Quận 10,1,80,,11,,,"Nhà mặt phố, mặt tiền",23500000000,"23,5 tỷ",293.75
Hẻm 119 Đường Nguyễn Quý Anh,Phường Tân Sơn Nhì,Quận Tân Phú,1,180,,2,,,"Nhà mặt phố, mặt tiền",27000000000,27 tỷ,150
Đường Nam Hòa,Phường Phước Long A (Quận 9 cũ),Thành phố Thủ Đức,1,80,2,4,3,,"Nhà mặt phố, mặt tiền",5900000000,"5,9 tỷ",73.75
Đường Số 36,Phường Linh Đông (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,40,2,2,2,Hướng Tây Nam,"Nhà ngõ, hẻm",2850000000,"2,85 tỷ",71.25
Đường Thoại Ngọc Hầu,Phường Hòa Thạnh,Quận Tân Phú,1,80,2,2,3,,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",85
Đường Kinh Dương Vương,Phường An Lạc A,Quận Bình Tân,1,90,4,4,4,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",9000000000,9 tỷ,100
Đường Ðường Số 2 Cư Xá Đô Thành,Phường 4,Quận 3,1,56,,5,,,"Nhà mặt phố, mặt tiền",18500000000,"18,5 tỷ",330.35715
Đường Trần Hưng Đạo,Phường Cô Giang,Quận 1,1,25,3,2,3,Hướng Bắc,"Nhà ngõ, hẻm",3950000000,"3,95 tỷ",158
Đường Tỉnh lộ 8,Xã Bình Mỹ,Huyện Củ Chi,1,250,,2,,,"Nhà mặt phố, mặt tiền",8000000000,8 tỷ,32
Đường Huỳnh Văn Bánh,Phường 11,Quận Phú Nhuận,1,38.7999,3,3,3,Hướng Bắc,"Nhà mặt phố, mặt tiền",11000000000,11 tỷ,283.5059
Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,1,52,3,4,4,,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",130.76923
Đường Quang Trung,Phường 14,Quận Gò Vấp,1,42,3,4,,,"Nhà ngõ, hẻm",4950000000,"4,95 tỷ",117.85714
Nguyễn Oanh ,Phường 17,Quận Gò Vấp,1,32.2,2,3,3,,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",118.01242
Đường Nguyễn Văn Luông,Phường 12,Quận 6,1,38,,3,2,,"Nhà ngõ, hẻm",3950000000,"3,95 tỷ",103.947365
Bán Nhà 3 Lầu Mới Vô Ở Liên P1 Q8,Phường 1,Quận 8,1,79.3,3,6,6,Hướng Tây Bắc,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",83.22825
Đường song hành QL50,Xã Phong Phú,Huyện Bình Chánh,1,42,,1,1,Hướng Tây,"Nhà ngõ, hẻm",1900000000,"1,9 tỷ",45.238094
Đường Lạc Long Quân,Phường 8,Quận Tân Bình,1,27.7,3,4,3,Hướng Tây Bắc,"Nhà ngõ, hẻm",5000000000,5 tỷ,180.50542
Đường Quang Trung,Phường 14,Quận Gò Vấp,1,42,3,4,,,"Nhà ngõ, hẻm",4950000000,"4,95 tỷ",117.85714
Nguyễn Oanh ,Phường 17,Quận Gò Vấp,1,32.2,2,3,3,,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",118.01242
Đường Nguyễn Văn Luông,Phường 12,Quận 6,1,38,,3,2,,"Nhà ngõ, hẻm",3950000000,"3,95 tỷ",103.947365
Bán Nhà 3 Lầu Mới Vô Ở Liên P1 Q8,Phường 1,Quận 8,1,79.3,3,6,6,Hướng Tây Bắc,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",83.22825
Đường song hành QL50,Xã Phong Phú,Huyện Bình Chánh,1,42,,1,1,Hướng Tây,"Nhà ngõ, hẻm",1900000000,"1,9 tỷ",45.238094
Đường Lạc Long Quân,Phường 8,Quận Tân Bình,1,27.7,3,4,3,Hướng Tây Bắc,"Nhà ngõ, hẻm",5000000000,5 tỷ,180.50542
Lê Đức Thọ,Phường 6,Quận Gò Vấp,1,62,4,4,4,,"Nhà ngõ, hẻm",7800000000,"7,8 tỷ",125.80645
Lê Đức Thọ,Phường 6,Quận Gò Vấp,1,50,4,5,5,,"Nhà ngõ, hẻm",6300000000,"6,3 tỷ",126
cát lái,Phường Cát Lái (Quận 2 cũ),Thành phố Thủ Đức,1,74.3,,3,,,Nhà phố liền kề,10500000000,"10,5 tỷ",141.31897
Dương Quảng Hàm,Phường 5,Quận Gò Vấp,1,48,2,2,2,,"Nhà ngõ, hẻm",6200000000,"6,2 tỷ",129.16667
Đường Nguyễn Văn Lượng,Phường 11,Quận Gò Vấp,1,71,5,7,7,,"Nhà ngõ, hẻm",8500000000,"8,5 tỷ",119.71831
Đường Lâm Thị Hố,Phường Tân Chánh Hiệp,Quận 12,1,50,2,4,2,,"Nhà ngõ, hẻm",3350000000,"3,35 tỷ",67
Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,1,55,5,4,5,,"Nhà ngõ, hẻm",7400000000,"7,4 tỷ",134.54546
Đường Nguyễn Văn Khối,Phường 11,Quận Gò Vấp,1,100,2,2,2,,"Nhà ngõ, hẻm",6850000000,"6,85 tỷ",68.5
Đường Thạnh Xuân 38,Phường Thạnh Xuân,Quận 12,1,76,2,2,3,Hướng Tây Nam,"Nhà ngõ, hẻm",4100000000,"4,1 tỷ",53.94737
Đường Huỳnh Tấn Phát,Phường Tân Thuận Đông,Quận 7,1,32.2,3,4,,,"Nhà ngõ, hẻm",4000000000,4 tỷ,124.2236
Đường Tân Thới Hiệp 09,Phường Tân Thới Hiệp,Quận 12,1,50,1,3,2,,"Nhà mặt phố, mặt tiền",4500000000,"4,5 tỷ",90
Đường Dương Bá Trạc,Phường 1,Quận 8,1,41.5998,2,2,2,Hướng Nam,"Nhà ngõ, hẻm",4450000000,"4,45 tỷ",106.971664
Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,1,45,5,4,4,,"Nhà ngõ, hẻm",5950000000,"5,95 tỷ",132.22223
Đường Hồ Học Lãm,Phường An Lạc,Quận Bình Tân,1,50,,3,2,,"Nhà ngõ, hẻm",1980000000,"1,98 tỷ",39.6
Đường Lò Siêu,Phường 16,Quận 11,1,39,,3,3,,"Nhà ngõ, hẻm",5400000000,"5,4 tỷ",138.46153
Đường Đông Hưng Thuận 2,Phường Tân Hưng Thuận,Quận 12,1,135,4,6,6,,"Nhà mặt phố, mặt tiền",13900000000,"13,9 tỷ",102.96296
Đường Bùi Minh Trực,Phường 5,Quận 8,1,52,3,3,4,Hướng Đông,"Nhà ngõ, hẻm",5860000000,"5,86 tỷ",112.69231
Đường Bình Trưng,Phường Bình Trưng Tây (Quận 2 cũ),Thành phố Thủ Đức,1,170,4,5,5,,"Nhà mặt phố, mặt tiền",13600000000,"13,6 tỷ",80
Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7,1,30,2,2,1,,"Nhà ngõ, hẻm",3350000000,"3,35 tỷ",111.666664
Đường Lê Văn Quới,Phường Bình Trị Đông,Quận Bình Tân,1,90,2,3,2,,"Nhà mặt phố, mặt tiền",5900000000,"5,9 tỷ",65.55556
Đường Trần Văn Kiểu,Phường 10,Quận 6,1,87,4,5,4,,"Nhà mặt phố, mặt tiền",13000000000,13 tỷ,149.4253
Đường Nguyễn Thị Búp,Phường Hiệp Thành,Quận 12,1,95,3,4,3,,Nhà biệt thự,7200000000,"7,2 tỷ",75.789474
Đường Nguyễn Thái Bình,Phường 12,Quận Tân Bình,1,157,7,11,7,,"Nhà ngõ, hẻm",38000000000,38 tỷ,242.03822
Đường Sư Vạn Hạnh,Phường 10,Quận 10,1,28,2,2,2,,"Nhà ngõ, hẻm",3850000000,"3,85 tỷ",137.5
Hà huy giáp ,Phường 17,Quận Gò Vấp,1,70,3,3,3,,"Nhà ngõ, hẻm",6300000000,"6,3 tỷ",90
Đường Trương Đăng Quế,Phường 1,Quận Gò Vấp,1,31,5,3,3,,"Nhà ngõ, hẻm",4650000000,"4,65 tỷ",150
Đường Gò Xoài,Phường Bình Hưng Hoà A,Quận Bình Tân,1,52,3,4,3,,"Nhà mặt phố, mặt tiền",5200000000,"5,2 tỷ",100
Đường Phạm Thế Hiển,Phường 5,Quận 8,1,75,3,3,4,Hướng Bắc,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",90.666664
Đường Nguyễn Trãi,Phường 2,Quận 5,1,24,5,4,4,,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",233.33333
